Date,Open,High,Low,Close,Adj Close,Volume,Company
2021-01-04,120.31549072265625,120.38240814208984,117.62906646728516,118.48948669433594,104.75033569335938,5417443,IBM
2021-01-05,119.5124282836914,121.1089859008789,119.13002014160156,120.59273529052734,106.60971069335938,6395872,IBM
2021-01-06,121.3193130493164,126.08030700683594,121.14722442626953,123.60420989990234,109.2719955444336,8322708,IBM
2021-01-07,124.32122039794922,124.7227554321289,122.61949920654297,123.31739807128906,109.01844024658203,4714740,IBM
2021-01-08,122.9158706665039,123.63288879394531,121.39579010009766,122.87763214111328,108.62965393066406,4891305,IBM
2021-01-11,122.32313537597656,123.97705841064453,122.04589080810547,122.92543029785156,108.67192840576172,5859587,IBM
2021-01-12,123.41300201416016,124.13957977294922,122.3135757446289,123.52772521972656,109.20438385009766,3921663,IBM
2021-01-13,123.4703598022461,124.04397583007812,120.8986587524414,121.33843231201172,107.2689437866211,8030874,IBM
2021-01-14,122.39006042480469,124.43594360351562,121.94072723388672,123.29827880859375,109.00154113769531,7848347,IBM
2021-01-15,122.63862609863281,123.55640411376953,122.05545043945312,122.74378967285156,108.5113525390625,5131153,IBM
2021-01-19,123.59464263916016,123.8910140991211,122.45697784423828,123.34607696533203,109.04378509521484,5646308,IBM
2021-01-20,123.99617767333984,125.2963638305664,122.90631103515625,124.35946655273438,109.93968200683594,5856240,IBM
2021-01-21,124.397705078125,126.42447662353516,124.3307876586914,125.86042022705078,111.26658630371094,13116003,IBM
2021-01-22,115.3919677734375,115.3919677734375,112.1988525390625,113.39388275146484,100.2455825805664,39814421,IBM
2021-01-25,113.53728485107422,114.2829818725586,112.28489685058594,113.36520385742188,100.22023010253906,14315974,IBM
2021-01-26,113.93881225585938,117.1988525390625,113.21223449707031,117.1032485961914,103.52483367919922,11186656,IBM
2021-01-27,116.7112808227539,119.3021011352539,116.2715072631836,117.0841293334961,103.5079345703125,12705239,IBM
2021-01-28,117.39962005615234,117.78202819824219,114.7896728515625,114.79923248291016,101.48797607421875,8455969,IBM
2021-01-29,114.93307495117188,115.96558380126953,113.67112731933594,113.87189483642578,100.66816711425781,12369473,IBM
2021-02-01,114.62715148925781,115.63097381591797,113.50860595703125,115.23900604248047,101.87675476074219,6538023,IBM
2021-02-02,114.11090087890625,115.67877960205078,114.03441619873047,114.1873779296875,100.94707489013672,6633627,IBM
2021-02-03,113.80496978759766,114.53154754638672,112.92543029785156,113.88145446777344,100.6766128540039,7024308,IBM
2021-02-04,114.63671112060547,115.77437591552734,113.64244842529297,115.6978988647461,102.28243255615234,4771957,IBM
2021-02-05,115.67877960205078,116.45315551757812,115.21988677978516,116.43403625488281,102.9332275390625,4775722,IBM
2021-02-08,117.22753143310547,118.52772521972656,117.01720428466797,118.17399597167969,104.47142791748047,6158848,IBM
2021-02-09,116.53919982910156,117.20841217041016,115.72657775878906,116.73040008544922,104.57420349121094,4933982,IBM
2021-02-10,117.61949920654297,117.98279571533203,115.8795394897461,116.86424255371094,104.69409942626953,5090673,IBM
2021-02-11,116.63479614257812,116.83556365966797,115.3250503540039,115.59273529052734,103.55502319335938,5629154,IBM
2021-02-12,115.67877960205078,116.02294158935547,114.80879211425781,115.4875717163086,103.46080017089844,4049275,IBM
2021-02-16,114.86615753173828,115.2963638305664,114.11090087890625,114.7896728515625,102.8355712890625,6945231,IBM
2021-02-17,114.02485656738281,115.25812530517578,113.78585052490234,114.69407653808594,102.74994659423828,4141219,IBM
2021-02-18,115.20076751708984,115.62141418457031,114.43594360351562,115.42064666748047,103.40084075927734,5646413,IBM
2021-02-19,115.43977355957031,115.44933319091797,113.17399597167969,113.75717163085938,101.91059875488281,6881320,IBM
2021-02-22,113.2887191772461,115.80306243896484,113.23136138916016,115.54492950439453,103.5121841430664,6149643,IBM
2021-02-23,115.602294921875,116.01338195800781,114.53154754638672,115.40152740478516,103.38372039794922,4739740,IBM
2021-02-24,115.4875717163086,118.05927276611328,115.21988677978516,117.79158782958984,105.52487182617188,6087720,IBM
2021-02-25,117.94454956054688,118.88145446777344,116.95984649658203,117.0841293334961,104.89109802246094,5953623,IBM
2021-02-26,116.8738021850586,116.8738021850586,113.65200805664062,113.6998062133789,101.85922241210938,9467346,IBM
2021-03-01,115.05735778808594,116.94072723388672,114.58891296386719,115.43020629882812,103.4094009399414,5977367,IBM
2021-03-02,115.43020629882812,116.53919982910156,114.97132110595703,115.03823852539062,103.05827331542969,4732418,IBM
2021-03-03,115.20076751708984,117.23709106445312,114.7036361694336,116.97896575927734,104.79688262939453,7744898,IBM
2021-03-04,116.63479614257812,117.8011474609375,113.53728485107422,114.82791900634766,102.86982727050781,8439651,IBM
2021-03-05,115.33460998535156,118.3078384399414,114.96176147460938,117.42829895019531,105.19942474365234,7268968,IBM
2021-03-08,117.58126068115234,121.2715072631836,117.4760971069336,119.32122039794922,106.89522552490234,7572203,IBM
2021-03-09,119.8852767944336,120.86997985839844,118.6998062133789,118.71892547607422,106.35564422607422,5867014,IBM
2021-03-10,119.55066680908203,122.60037994384766,119.13002014160156,122.24665069580078,109.5159912109375,7581199,IBM
2021-03-11,122.45697784423828,122.98279571533203,121.20458984375,121.54875946044922,108.89078521728516,5383657,IBM
2021-03-12,121.5965576171875,122.06501007080078,121.04206848144531,121.99808502197266,109.29331970214844,4194565,IBM
2021-03-15,122.15105438232422,123.08795166015625,121.93116760253906,122.92543029785156,110.12408447265625,3577948,IBM
2021-03-16,122.63862609863281,122.86807250976562,121.73995971679688,122.60037994384766,109.8328857421875,4867247,IBM
2021-03-17,122.81070709228516,123.79541015625,121.88336181640625,123.35564422607422,110.50949096679688,4488804,IBM
2021-03-18,123.26959991455078,125.23900604248047,122.17017364501953,124.34034729003906,111.39164733886719,6104142,IBM
2021-03-19,124.3021011352539,124.7036361694336,122.87763214111328,123.23136138916016,110.39815521240234,10297870,IBM
2021-03-22,122.84894561767578,124.97132110595703,122.26577758789062,124.80879211425781,111.81130981445312,4356485,IBM
2021-03-23,124.7036361694336,125.77437591552734,124.09178161621094,124.7227554321289,111.73423767089844,4556794,IBM
2021-03-24,125.19120788574219,126.3001937866211,124.82791900634766,124.87571716308594,111.87126922607422,4189230,IBM
